system,contrast,records,mean,median,symmetric_10pct_trimmed_mean,mean_after_removing_largest_10pct,top_decile_positive_mass_share,medium_mean,hard_mean,analysis_status
sonnet_gateway,Property order,200,0.0584,0.0000,0.0159,0.0068,0.8021,0.0338,0.0830,post-hoc descriptive
sonnet_gateway,Additional member order,200,0.0768,0.0000,0.0269,0.0166,0.7418,0.0555,0.0981,post-hoc descriptive
gpt_gateway,Property order,200,0.0329,0.0000,0.0049,-0.0059,0.8385,0.0095,0.0562,post-hoc descriptive
gpt_gateway,Additional member order,200,0.0380,0.0000,0.0042,-0.0066,0.8581,0.0312,0.0447,post-hoc descriptive
deepseek_official,Property order,200,0.0132,0.0000,0.0012,-0.0104,0.7197,0.0093,0.0172,post-hoc descriptive
deepseek_official,Additional member order,200,0.0182,0.0000,0.0046,-0.0066,0.7201,0.0246,0.0117,post-hoc descriptive
qwen_plus_official,Property order,160,0.1255,0.0000,0.0591,0.0488,0.6329,0.0649,0.1861,post-hoc descriptive
qwen_plus_official,Additional member order,160,0.1229,0.0000,0.0643,0.0526,0.5952,0.0718,0.1741,post-hoc descriptive
qwen_plus_json_mode,Property order,100,0.1582,0.0000,0.0854,0.0752,0.5699,0.1318,0.1846,post-hoc descriptive
qwen_plus_json_mode,Additional member order,100,0.1219,0.0000,0.0546,0.0443,0.6523,0.0948,0.1490,post-hoc descriptive
