total_properties,object_nodes,array_nodes,leaf_nodes,required_entries,description_chars,max_schema_depth,top_level_properties,schema_chars,record_id,schema_complexity_label,question_difficulty,question_type,context_chars,question_chars,sonnet5_properties_reversed_normalized_excess,gpt55_properties_reversed_normalized_excess,sonnet_minus_gpt_properties_reversed,sonnet5_required_reversed_normalized_excess,gpt55_required_reversed_normalized_excess,sonnet_minus_gpt_required_reversed,sonnet5_keywords_reversed_normalized_excess,gpt55_keywords_reversed_normalized_excess,sonnet_minus_gpt_keywords_reversed,sonnet5_descriptions_first_normalized_excess,gpt55_descriptions_first_normalized_excess,sonnet_minus_gpt_descriptions_first
4,1,0,4,4,236,2,4,573,068a028f7a489e7864eae8c8ced0440da216b631cdcb410aade4df8e20735f55,medium,hard,bridge,5538,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,181,2,4,527,17fc4f43d6664fd9048e40f970063d7c82c3e95536ae82de94866e87f1e75759,medium,medium,bridge,6418,59,0.050000000000000044,0.25,-0.19999999999999996,0.0,0.0,0.0,0.4,0.2899999999999999,0.1100000000000001,0.0,-0.030000000000000027,0.030000000000000027
5,1,0,5,5,380,2,5,817,1ad8002d1ae1da4c9a92a28d9a0bb57b13c5627ea17c0947431a48058da01736,medium,medium,bridge,4899,79,0.050000000000000044,0.35,-0.29999999999999993,0.0,0.09999999999999998,-0.09999999999999998,0.0,0.35,-0.35,0.0,0.010000000000000009,-0.010000000000000009
7,2,0,6,7,312,3,4,861,1bc413b3690a5e67323aca55d516194539c797ccc64fa7553666f61c49aeedae,hard,medium,bridge,6689,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,162,2,4,508,1c19b3f73b86234ebe5abc12081285ae55d4bfcff993f931a0cc24bb73f7372a,medium,medium,bridge,5407,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,2,6,7,322,4,3,1034,1cd67f389d0f25c1124348f6300906ea252df2caeaafdc1e43920d6c5cabda01,hard,medium,bridge,4585,75,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,205,2,5,635,2431cd57aa6650239a3fb33bafc876c2e21caf0b37b1652ec965432c1632d9dc,medium,medium,bridge,6292,88,0.0,0.06000000000000005,-0.06000000000000005,0.0,0.3,-0.3,0.0,0.3,-0.3,0.0,0.06000000000000005,-0.06000000000000005
6,2,2,5,6,337,5,3,943,253c73b0adf68ddb3ca5a93a5ae81988e0164caff501317befffea8ac43848d8,hard,easy,comparison,3582,86,0.040000000000000036,0.0,0.040000000000000036,-0.06,-0.06,0.0,0.5,-0.040000000000000036,0.54,0.15000000000000013,0.0,0.15000000000000013
8,2,0,7,8,319,3,4,977,280105110843d137d46068ea8b54067cb948461ec0f0df0998c32a6d89630db8,hard,medium,bridge,7227,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,3,369,2,5,794,297ed11d1dc03d77fe684c29bedd86bcf0345254539dc9380475bcb7fc7eefe4,medium,medium,bridge,4441,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,4,4,217,2,4,561,29d61920908f494e83cb8fa534f7f3e383f09f2a4ab2042194663eb7262398c1,medium,medium,bridge,6358,68,0.8,0.10000000000000003,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,248,2,5,787,2cfd1f970b5473f2f2ef2d50d50e83c349887e047051660d24be299e87674bd1,medium,easy,comparison,7210,67,0.2300000000000001,0.0,0.2300000000000001,0.17000000000000004,0.0,0.17000000000000004,0.17000000000000004,0.0,0.17000000000000004,0.2899999999999999,0.0,0.2899999999999999
4,1,1,4,4,202,3,4,594,2e21e35d8a614c9c5c962bf81b67895eebe1cb369107b8109874443330702db4,medium,medium,bridge,3910,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,232,2,5,641,301f1c2c9dc8a66d06d5a4e3bb9e566446c83e46a701d8d7a9fb5670e20315eb,medium,medium,bridge,6167,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0,4,5,209,3,3,652,30eca922eead100e852712aa6f680062d0f9733e22dbb80ca045c2a078f353a1,hard,hard,bridge,6941,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,6,7,249,3,3,810,32ca6af4543f05c7310cae8aaf1c50b3543f89d9882c2a371db4f7ce9dde8829,hard,easy,bridge,6374,166,0.4,0.3,0.10000000000000003,0.4,0.0,0.4,0.13,1.0,-0.87,0.30000000000000004,0.0,0.30000000000000004
11,3,2,9,11,336,5,4,1308,33ed5e49aaf2b1a3b74a6d4a8f054cafa9cbdd52b1b3bd699779cd9da44287b6,hard,easy,bridge,3225,189,0.0,-0.040000000000000036,0.040000000000000036,0.0,-0.07000000000000006,0.07000000000000006,0.0,0.18000000000000005,-0.18000000000000005,0.0,0.039999999999999925,-0.039999999999999925
5,1,0,5,5,324,2,5,778,385355f8d8d39c7c8b720ffc373620e5860d14454d8c504644ca17869557ab3c,medium,easy,bridge,5865,360,0.15999999999999992,0.0,0.15999999999999992,-0.040000000000000036,0.0,-0.040000000000000036,0.27,0.0,0.27,-0.14,-0.07000000000000006,-0.06999999999999995
6,1,0,6,6,215,2,6,725,3a9a91da65cb2d40e504b7926d24a1bd2c600b93dcddc2f5d8c68a3761ec8505,medium,easy,bridge,5876,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,3,3,153,2,3,473,3acabc99dd78437125baa030e12031daa6201c5e26469151a28cf16d59ea142d,medium,medium,bridge,5111,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,5,5,239,2,5,651,3ed3d65946a4df9d5ade6e129c400df6f9aa0ad4ad0739101f43f57930d8c109,medium,easy,bridge,4961,135,0.0,0.3,-0.3,0.0,0.0,0.0,0.0,0.3,-0.3,0.0,0.10000000000000003,-0.10000000000000003
5,1,0,5,5,233,2,5,621,441be3cb68a7a364d2f3a0bb9237c69208463cecdc0e9046b4eef8d4ecc55417,medium,medium,bridge,3362,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0,7,9,310,3,3,1093,4930cd9ff932f19b3abccf4550e66839d6191ba6b51599a16759867a8e70f1d7,hard,easy,bridge,4265,306,0.3,0.0,0.3,0.3,0.0,0.3,0.10000000000000003,0.0,0.10000000000000003,0.10000000000000003,0.0,0.10000000000000003
